flashItemId,eventId,productId,limitedQty,soldQty,flashPrice,version
FSI-00001,EVT-008,PRD-00112,78,14,287000.0,15
FSI-00002,EVT-018,PRD-03119,71,0,601000.0,1
FSI-00003,EVT-002,PRD-01364,21,0,839000.0,1
FSI-00004,EVT-007,PRD-03641,40,0,956000.0,1
FSI-00005,EVT-015,PRD-00325,47,0,2291000.0,1
FSI-00006,EVT-001,PRD-02492,22,0,1471000.0,1
FSI-00007,EVT-019,PRD-02085,99,0,2169000.0,1
FSI-00008,EVT-020,PRD-00707,85,0,497000.0,1
FSI-00009,EVT-003,PRD-03123,7,0,2006000.0,1
FSI-00010,EVT-017,PRD-04117,50,0,1190000.0,1
FSI-00011,EVT-013,PRD-04569,97,0,898000.0,1
FSI-00012,EVT-011,PRD-02021,22,0,1798000.0,1
FSI-00013,EVT-002,PRD-04604,60,0,641000.0,1
FSI-00014,EVT-008,PRD-04662,15,0,1234000.0,1
FSI-00015,EVT-017,PRD-04184,17,0,844000.0,1
FSI-00016,EVT-001,PRD-00191,23,0,1003000.0,1
FSI-00017,EVT-011,PRD-03407,36,0,2021000.0,1
FSI-00018,EVT-012,PRD-04354,69,0,1135000.0,1
FSI-00019,EVT-012,PRD-03807,7,0,88000.0,1
FSI-00020,EVT-012,PRD-00659,54,0,1504000.0,1
FSI-00021,EVT-008,PRD-04356,12,0,886000.0,1
FSI-00022,EVT-003,PRD-04191,51,0,1164000.0,1
FSI-00023,EVT-005,PRD-01940,89,0,1145000.0,1
FSI-00024,EVT-010,PRD-01576,48,0,500000.0,1
FSI-00025,EVT-017,PRD-01118,93,0,2615000.0,1
FSI-00026,EVT-015,PRD-01706,57,0,2776000.0,1
FSI-00027,EVT-007,PRD-02650,92,0,246000.0,1
FSI-00028,EVT-011,PRD-04537,81,0,1621000.0,1
FSI-00029,EVT-020,PRD-03436,97,0,2399000.0,1
FSI-00030,EVT-010,PRD-03298,89,0,1223000.0,1
FSI-00031,EVT-011,PRD-03927,52,0,471000.0,1
FSI-00032,EVT-020,PRD-01925,96,0,1354000.0,1
FSI-00033,EVT-005,PRD-03644,44,0,169000.0,1
FSI-00034,EVT-002,PRD-03467,19,0,341000.0,1
FSI-00035,EVT-011,PRD-00128,74,0,1021000.0,1
FSI-00036,EVT-018,PRD-03647,13,0,524000.0,1
FSI-00037,EVT-017,PRD-03535,62,0,479000.0,1
FSI-00038,EVT-014,PRD-03392,34,0,2147000.0,1
FSI-00039,EVT-002,PRD-02582,41,0,174000.0,1
FSI-00040,EVT-016,PRD-04214,32,0,874000.0,1
FSI-00041,EVT-010,PRD-02723,45,0,282000.0,1
FSI-00042,EVT-013,PRD-04323,95,0,1907000.0,1
FSI-00043,EVT-003,PRD-03496,76,0,573000.0,1
FSI-00044,EVT-003,PRD-01096,39,0,2020000.0,1
FSI-00045,EVT-005,PRD-04999,40,0,1728000.0,1
FSI-00046,EVT-012,PRD-01497,89,0,929000.0,1
FSI-00047,EVT-001,PRD-04748,54,0,710000.0,1
FSI-00048,EVT-016,PRD-00729,35,0,111000.0,1
FSI-00049,EVT-011,PRD-00009,31,0,1525000.0,1
FSI-00050,EVT-011,PRD-02542,22,0,897000.0,1
FSI-00051,EVT-009,PRD-03891,13,0,1649000.0,1
FSI-00052,EVT-004,PRD-04408,24,0,1835000.0,1
FSI-00053,EVT-015,PRD-01733,7,0,1392000.0,1
FSI-00054,EVT-019,PRD-00352,82,0,2424000.0,1
FSI-00055,EVT-019,PRD-01280,41,0,1725000.0,1
FSI-00056,EVT-012,PRD-04608,24,0,764000.0,1
FSI-00057,EVT-006,PRD-04378,98,0,1796000.0,1
FSI-00058,EVT-010,PRD-03110,91,0,1819000.0,1
FSI-00059,EVT-019,PRD-03469,77,0,1140000.0,1
FSI-00060,EVT-018,PRD-02580,50,0,1361000.0,1
FSI-00061,EVT-018,PRD-02966,67,0,1467000.0,1
FSI-00062,EVT-004,PRD-01912,13,0,2573000.0,1
FSI-00063,EVT-015,PRD-04747,96,0,1127000.0,1
FSI-00064,EVT-001,PRD-03668,100,0,1275000.0,1
FSI-00065,EVT-020,PRD-04731,23,0,1021000.0,1
FSI-00066,EVT-007,PRD-01954,88,0,1425000.0,1
FSI-00067,EVT-014,PRD-02867,92,0,1858000.0,1
FSI-00068,EVT-013,PRD-01245,99,0,1529000.0,1
FSI-00069,EVT-008,PRD-02550,40,0,872000.0,1
FSI-00070,EVT-008,PRD-00226,83,0,1162000.0,1
FSI-00071,EVT-009,PRD-00206,13,0,762000.0,1
FSI-00072,EVT-007,PRD-00278,75,0,783000.0,1
FSI-00073,EVT-011,PRD-04971,100,0,2496000.0,1
FSI-00074,EVT-002,PRD-04240,36,0,883000.0,1
FSI-00075,EVT-007,PRD-03741,30,0,1961000.0,1
FSI-00076,EVT-005,PRD-02006,16,0,1945000.0,1
FSI-00077,EVT-012,PRD-01423,99,0,1478000.0,1
FSI-00078,EVT-003,PRD-03076,54,0,1784000.0,1
FSI-00079,EVT-016,PRD-04918,84,0,1372000.0,1
FSI-00080,EVT-013,PRD-01521,7,0,1138000.0,1
FSI-00081,EVT-009,PRD-04883,78,0,955000.0,1
FSI-00082,EVT-012,PRD-03739,30,0,567000.0,1
FSI-00083,EVT-010,PRD-03540,6,0,1757000.0,1
FSI-00084,EVT-001,PRD-02466,90,0,197000.0,1
FSI-00085,EVT-001,PRD-03801,36,0,1179000.0,1
FSI-00086,EVT-001,PRD-00300,52,0,241000.0,1
FSI-00087,EVT-011,PRD-03082,11,0,2041000.0,1
FSI-00088,EVT-019,PRD-01491,14,0,1717000.0,1
FSI-00089,EVT-006,PRD-03406,62,0,1224000.0,1
FSI-00090,EVT-007,PRD-04335,82,0,2945000.0,1
FSI-00091,EVT-014,PRD-03676,91,0,1488000.0,1
FSI-00092,EVT-010,PRD-00751,26,0,1949000.0,1
FSI-00093,EVT-017,PRD-01907,90,0,1458000.0,1
FSI-00094,EVT-011,PRD-03660,83,0,112000.0,1
FSI-00095,EVT-005,PRD-01026,26,0,654000.0,1
FSI-00096,EVT-013,PRD-01009,47,0,1460000.0,1
FSI-00097,EVT-007,PRD-02368,29,0,709000.0,1
FSI-00098,EVT-009,PRD-00008,50,0,309000.0,1
FSI-00099,EVT-013,PRD-01626,22,0,924000.0,1
FSI-00100,EVT-003,PRD-02671,71,0,2030000.0,1
FSI-00101,EVT-011,PRD-04791,26,0,1723000.0,1
FSI-00102,EVT-001,PRD-01908,100,0,259000.0,1
FSI-00103,EVT-009,PRD-04608,90,0,912000.0,1
FSI-00104,EVT-009,PRD-04447,20,0,1529000.0,1
FSI-00105,EVT-018,PRD-03057,88,0,1036000.0,1
FSI-00106,EVT-002,PRD-00447,28,0,1335000.0,1
FSI-00107,EVT-005,PRD-03541,66,0,801000.0,1
FSI-00108,EVT-005,PRD-03834,14,0,1305000.0,1
