transactionId,requestId,orderId,customerId,flashItemId,quantity,mechanism,threadName,startTime,endTime,success,errorMessage
TXN-NO_LOCK-00088,REQ-SIM-00088,SIM-NO_LOCK-00088,CUS-00088,FSI-00191,1,NO_LOCK,pool-1-thread-88,286313508625600,286313623985000,true,
TXN-NO_LOCK-00081,REQ-SIM-00081,SIM-NO_LOCK-00081,CUS-00081,FSI-00191,1,NO_LOCK,pool-1-thread-81,286313505160400,286313623987100,true,
TXN-NO_LOCK-00066,REQ-SIM-00066,SIM-NO_LOCK-00066,CUS-00066,FSI-00191,1,NO_LOCK,pool-1-thread-66,286313501655800,286313623991600,true,
TXN-NO_LOCK-00079,REQ-SIM-00079,SIM-NO_LOCK-00079,CUS-00079,FSI-00191,1,NO_LOCK,pool-1-thread-79,286313507672800,286313624441400,true,
TXN-NO_LOCK-00004,REQ-SIM-00004,SIM-NO_LOCK-00004,CUS-00004,FSI-00191,1,NO_LOCK,pool-1-thread-4,286313488694400,286313624841900,true,
TXN-NO_LOCK-00039,REQ-SIM-00039,SIM-NO_LOCK-00039,CUS-00039,FSI-00191,1,NO_LOCK,pool-1-thread-39,286313496001300,286313625155700,true,
TXN-NO_LOCK-00027,REQ-SIM-00027,SIM-NO_LOCK-00027,CUS-00027,FSI-00191,1,NO_LOCK,pool-1-thread-27,286313494111900,286313625178800,true,
TXN-NO_LOCK-00058,REQ-SIM-00058,SIM-NO_LOCK-00058,CUS-00058,FSI-00191,1,NO_LOCK,pool-1-thread-58,286313503655500,286313625290300,true,
TXN-NO_LOCK-00100,REQ-SIM-00100,SIM-NO_LOCK-00100,CUS-00100,FSI-00191,1,NO_LOCK,pool-1-thread-100,286313508719300,286313625340000,true,
TXN-NO_LOCK-00075,REQ-SIM-00075,SIM-NO_LOCK-00075,CUS-00075,FSI-00191,1,NO_LOCK,pool-1-thread-75,286313506074900,286313625267600,true,
TXN-NO_LOCK-00001,REQ-SIM-00001,SIM-NO_LOCK-00001,CUS-00001,FSI-00191,1,NO_LOCK,pool-1-thread-1,286313488610800,286313625553200,true,
TXN-NO_LOCK-00052,REQ-SIM-00052,SIM-NO_LOCK-00052,CUS-00052,FSI-00191,1,NO_LOCK,pool-1-thread-52,286313500496200,286313625545300,true,
TXN-NO_LOCK-00080,REQ-SIM-00080,SIM-NO_LOCK-00080,CUS-00080,FSI-00191,1,NO_LOCK,pool-1-thread-80,286313505386000,286313625541800,true,
TXN-NO_LOCK-00006,REQ-SIM-00006,SIM-NO_LOCK-00006,CUS-00006,FSI-00191,1,NO_LOCK,pool-1-thread-6,286313489003700,286313625466900,true,
TXN-NO_LOCK-00036,REQ-SIM-00036,SIM-NO_LOCK-00036,CUS-00036,FSI-00191,1,NO_LOCK,pool-1-thread-36,286313495181400,286313625718400,true,
TXN-NO_LOCK-00016,REQ-SIM-00016,SIM-NO_LOCK-00016,CUS-00016,FSI-00191,1,NO_LOCK,pool-1-thread-16,286313491359800,286313625730800,true,
TXN-NO_LOCK-00012,REQ-SIM-00012,SIM-NO_LOCK-00012,CUS-00012,FSI-00191,1,NO_LOCK,pool-1-thread-12,286313490599500,286313625826000,true,
TXN-NO_LOCK-00070,REQ-SIM-00070,SIM-NO_LOCK-00070,CUS-00070,FSI-00191,1,NO_LOCK,pool-1-thread-70,286313503033700,286313625849400,true,
TXN-NO_LOCK-00007,REQ-SIM-00007,SIM-NO_LOCK-00007,CUS-00007,FSI-00191,1,NO_LOCK,pool-1-thread-7,286313489849000,286313625879300,true,
TXN-NO_LOCK-00094,REQ-SIM-00094,SIM-NO_LOCK-00094,CUS-00094,FSI-00191,1,NO_LOCK,pool-1-thread-94,286313508224500,286313625916700,true,
TXN-NO_LOCK-00071,REQ-SIM-00071,SIM-NO_LOCK-00071,CUS-00071,FSI-00191,1,NO_LOCK,pool-1-thread-71,286313505202600,286313625914800,true,
TXN-NO_LOCK-00065,REQ-SIM-00065,SIM-NO_LOCK-00065,CUS-00065,FSI-00191,1,NO_LOCK,pool-1-thread-65,286313501615800,286313626954700,true,
TXN-NO_LOCK-00090,REQ-SIM-00090,SIM-NO_LOCK-00090,CUS-00090,FSI-00191,1,NO_LOCK,pool-1-thread-90,286313507440800,286313627169000,true,
TXN-NO_LOCK-00093,REQ-SIM-00093,SIM-NO_LOCK-00093,CUS-00093,FSI-00191,1,NO_LOCK,pool-1-thread-93,286313508024100,286313627458700,true,
TXN-NO_LOCK-00009,REQ-SIM-00009,SIM-NO_LOCK-00009,CUS-00009,FSI-00191,1,NO_LOCK,pool-1-thread-9,286313490086700,286313628234500,true,
TXN-NO_LOCK-00091,REQ-SIM-00091,SIM-NO_LOCK-00091,CUS-00091,FSI-00191,1,NO_LOCK,pool-1-thread-91,286313505136000,286313629350300,true,
TXN-NO_LOCK-00017,REQ-SIM-00017,SIM-NO_LOCK-00017,CUS-00017,FSI-00191,1,NO_LOCK,pool-1-thread-17,286313492213600,286313630644400,true,
TXN-NO_LOCK-00045,REQ-SIM-00045,SIM-NO_LOCK-00045,CUS-00045,FSI-00191,1,NO_LOCK,pool-1-thread-45,286313500225200,286313630785400,true,
TXN-NO_LOCK-00092,REQ-SIM-00092,SIM-NO_LOCK-00092,CUS-00092,FSI-00191,1,NO_LOCK,pool-1-thread-92,286313507866500,286313631882300,true,
TXN-NO_LOCK-00044,REQ-SIM-00044,SIM-NO_LOCK-00044,CUS-00044,FSI-00191,1,NO_LOCK,pool-1-thread-44,286313498125700,286313633345200,true,
TXN-NO_LOCK-00008,REQ-SIM-00008,SIM-NO_LOCK-00008,CUS-00008,FSI-00191,1,NO_LOCK,pool-1-thread-8,286313490057700,286313633642800,true,
TXN-NO_LOCK-00069,REQ-SIM-00069,SIM-NO_LOCK-00069,CUS-00069,FSI-00191,1,NO_LOCK,pool-1-thread-69,286313501852400,286313634042800,true,
TXN-NO_LOCK-00005,REQ-SIM-00005,SIM-NO_LOCK-00005,CUS-00005,FSI-00191,1,NO_LOCK,pool-1-thread-5,286313488949200,286313637707000,true,
TXN-NO_LOCK-00099,REQ-SIM-00099,SIM-NO_LOCK-00099,CUS-00099,FSI-00191,1,NO_LOCK,pool-1-thread-99,286313508705800,286313638836400,true,
TXN-NO_LOCK-00064,REQ-SIM-00064,SIM-NO_LOCK-00064,CUS-00064,FSI-00191,1,NO_LOCK,pool-1-thread-64,286313501260400,286313641154200,true,
TXN-NO_LOCK-00038,REQ-SIM-00038,SIM-NO_LOCK-00038,CUS-00038,FSI-00191,1,NO_LOCK,pool-1-thread-38,286313495905800,286313642890700,true,
TXN-NO_LOCK-00024,REQ-SIM-00024,SIM-NO_LOCK-00024,CUS-00024,FSI-00191,1,NO_LOCK,pool-1-thread-24,286313493326700,286313648599400,true,
TXN-NO_LOCK-00078,REQ-SIM-00078,SIM-NO_LOCK-00078,CUS-00078,FSI-00191,1,NO_LOCK,pool-1-thread-78,286313503420000,286313648847700,true,
TXN-NO_LOCK-00085,REQ-SIM-00085,SIM-NO_LOCK-00085,CUS-00085,FSI-00191,1,NO_LOCK,pool-1-thread-85,286313505423600,286313648973600,true,
TXN-NO_LOCK-00083,REQ-SIM-00083,SIM-NO_LOCK-00083,CUS-00083,FSI-00191,1,NO_LOCK,pool-1-thread-83,286313505287300,286313649841600,true,
TXN-NO_LOCK-00089,REQ-SIM-00089,SIM-NO_LOCK-00089,CUS-00089,FSI-00191,1,NO_LOCK,pool-1-thread-89,286313506775800,286313649878100,true,
TXN-NO_LOCK-00013,REQ-SIM-00013,SIM-NO_LOCK-00013,CUS-00013,FSI-00191,1,NO_LOCK,pool-1-thread-13,286313490693200,286313650561900,true,
TXN-NO_LOCK-00073,REQ-SIM-00073,SIM-NO_LOCK-00073,CUS-00073,FSI-00191,1,NO_LOCK,pool-1-thread-73,286313502325000,286313651696200,true,
TXN-NO_LOCK-00049,REQ-SIM-00049,SIM-NO_LOCK-00049,CUS-00049,FSI-00191,1,NO_LOCK,pool-1-thread-49,286313500259800,286313654478300,true,
TXN-NO_LOCK-00031,REQ-SIM-00031,SIM-NO_LOCK-00031,CUS-00031,FSI-00191,1,NO_LOCK,pool-1-thread-31,286313494671600,286313659274000,true,
TXN-NO_LOCK-00011,REQ-SIM-00011,SIM-NO_LOCK-00011,CUS-00011,FSI-00191,1,NO_LOCK,pool-1-thread-11,286313490585200,286313660666100,true,
TXN-NO_LOCK-00055,REQ-SIM-00055,SIM-NO_LOCK-00055,CUS-00055,FSI-00191,1,NO_LOCK,pool-1-thread-55,286313500624400,286313664344400,true,
TXN-NO_LOCK-00022,REQ-SIM-00022,SIM-NO_LOCK-00022,CUS-00022,FSI-00191,1,NO_LOCK,pool-1-thread-22,286313493080100,286313665295700,true,
TXN-NO_LOCK-00014,REQ-SIM-00014,SIM-NO_LOCK-00014,CUS-00014,FSI-00191,1,NO_LOCK,pool-1-thread-14,286313491065000,286313667158100,true,
TXN-NO_LOCK-00054,REQ-SIM-00054,SIM-NO_LOCK-00054,CUS-00054,FSI-00191,1,NO_LOCK,pool-1-thread-54,286313500785700,286313669648000,true,
TXN-NO_LOCK-00021,REQ-SIM-00021,SIM-NO_LOCK-00021,CUS-00021,FSI-00191,1,NO_LOCK,pool-1-thread-21,286313493300000,286313669666000,true,
TXN-NO_LOCK-00030,REQ-SIM-00030,SIM-NO_LOCK-00030,CUS-00030,FSI-00191,1,NO_LOCK,pool-1-thread-30,286313494644500,286313669707400,true,
TXN-NO_LOCK-00020,REQ-SIM-00020,SIM-NO_LOCK-00020,CUS-00020,FSI-00191,1,NO_LOCK,pool-1-thread-20,286313492674600,286313672238100,true,
TXN-NO_LOCK-00076,REQ-SIM-00076,SIM-NO_LOCK-00076,CUS-00076,FSI-00191,1,NO_LOCK,pool-1-thread-76,286313504460700,286313672285200,true,
TXN-NO_LOCK-00067,REQ-SIM-00067,SIM-NO_LOCK-00067,CUS-00067,FSI-00191,1,NO_LOCK,pool-1-thread-67,286313501441400,286313672783000,true,
TXN-NO_LOCK-00002,REQ-SIM-00002,SIM-NO_LOCK-00002,CUS-00002,FSI-00191,1,NO_LOCK,pool-1-thread-2,286313488791600,286313674531900,true,
TXN-NO_LOCK-00026,REQ-SIM-00026,SIM-NO_LOCK-00026,CUS-00026,FSI-00191,1,NO_LOCK,pool-1-thread-26,286313493745400,286313674654900,true,
TXN-NO_LOCK-00037,REQ-SIM-00037,SIM-NO_LOCK-00037,CUS-00037,FSI-00191,1,NO_LOCK,pool-1-thread-37,286313495716300,286313674887000,true,
TXN-NO_LOCK-00019,REQ-SIM-00019,SIM-NO_LOCK-00019,CUS-00019,FSI-00191,1,NO_LOCK,pool-1-thread-19,286313492559000,286313675631500,true,
TXN-NO_LOCK-00063,REQ-SIM-00063,SIM-NO_LOCK-00063,CUS-00063,FSI-00191,1,NO_LOCK,pool-1-thread-63,286313501018700,286313681012400,true,
TXN-NO_LOCK-00062,REQ-SIM-00062,SIM-NO_LOCK-00062,CUS-00062,FSI-00191,1,NO_LOCK,pool-1-thread-62,286313502240900,286313682642800,true,
TXN-NO_LOCK-00015,REQ-SIM-00015,SIM-NO_LOCK-00015,CUS-00015,FSI-00191,1,NO_LOCK,pool-1-thread-15,286313491198200,286313685209200,true,
TXN-NO_LOCK-00041,REQ-SIM-00041,SIM-NO_LOCK-00041,CUS-00041,FSI-00191,1,NO_LOCK,pool-1-thread-41,286313496931400,286313685683000,true,
TXN-NO_LOCK-00050,REQ-SIM-00050,SIM-NO_LOCK-00050,CUS-00050,FSI-00191,1,NO_LOCK,pool-1-thread-50,286313500244400,286313685701000,true,
TXN-NO_LOCK-00060,REQ-SIM-00060,SIM-NO_LOCK-00060,CUS-00060,FSI-00191,1,NO_LOCK,pool-1-thread-60,286313502761400,286313686884600,true,
TXN-NO_LOCK-00042,REQ-SIM-00042,SIM-NO_LOCK-00042,CUS-00042,FSI-00191,1,NO_LOCK,pool-1-thread-42,286313497580400,286313688623700,true,
TXN-NO_LOCK-00096,REQ-SIM-00096,SIM-NO_LOCK-00096,CUS-00096,FSI-00191,1,NO_LOCK,pool-1-thread-96,286313508493000,286313689862300,true,
TXN-NO_LOCK-00072,REQ-SIM-00072,SIM-NO_LOCK-00072,CUS-00072,FSI-00191,1,NO_LOCK,pool-1-thread-72,286313505095100,286313690461600,true,
TXN-NO_LOCK-00018,REQ-SIM-00018,SIM-NO_LOCK-00018,CUS-00018,FSI-00191,1,NO_LOCK,pool-1-thread-18,286313491628500,286313698092300,true,
TXN-NO_LOCK-00029,REQ-SIM-00029,SIM-NO_LOCK-00029,CUS-00029,FSI-00191,1,NO_LOCK,pool-1-thread-29,286313494580300,286313698317400,true,
TXN-NO_LOCK-00034,REQ-SIM-00034,SIM-NO_LOCK-00034,CUS-00034,FSI-00191,1,NO_LOCK,pool-1-thread-34,286313494858200,286313699051100,true,
TXN-NO_LOCK-00077,REQ-SIM-00077,SIM-NO_LOCK-00077,CUS-00077,FSI-00191,1,NO_LOCK,pool-1-thread-77,286313504683300,286313702041700,true,
TXN-NO_LOCK-00086,REQ-SIM-00086,SIM-NO_LOCK-00086,CUS-00086,FSI-00191,1,NO_LOCK,pool-1-thread-86,286313504177700,286313703299600,true,
TXN-NO_LOCK-00035,REQ-SIM-00035,SIM-NO_LOCK-00035,CUS-00035,FSI-00191,1,NO_LOCK,pool-1-thread-35,286313495242600,286313706136000,true,
TXN-NO_LOCK-00082,REQ-SIM-00082,SIM-NO_LOCK-00082,CUS-00082,FSI-00191,1,NO_LOCK,pool-1-thread-82,286313503709300,286313706577100,true,
TXN-NO_LOCK-00033,REQ-SIM-00033,SIM-NO_LOCK-00033,CUS-00033,FSI-00191,1,NO_LOCK,pool-1-thread-33,286313494826800,286313707308600,true,
TXN-NO_LOCK-00043,REQ-SIM-00043,SIM-NO_LOCK-00043,CUS-00043,FSI-00191,1,NO_LOCK,pool-1-thread-43,286313497793100,286313707411400,true,
TXN-NO_LOCK-00010,REQ-SIM-00010,SIM-NO_LOCK-00010,CUS-00010,FSI-00191,1,NO_LOCK,pool-1-thread-10,286313490377300,286313708211900,true,
TXN-NO_LOCK-00059,REQ-SIM-00059,SIM-NO_LOCK-00059,CUS-00059,FSI-00191,1,NO_LOCK,pool-1-thread-59,286313500898800,286313709087800,true,
TXN-NO_LOCK-00023,REQ-SIM-00023,SIM-NO_LOCK-00023,CUS-00023,FSI-00191,1,NO_LOCK,pool-1-thread-23,286313493200200,286313711494500,true,
TXN-NO_LOCK-00032,REQ-SIM-00032,SIM-NO_LOCK-00032,CUS-00032,FSI-00191,1,NO_LOCK,pool-1-thread-32,286313494715800,286313712628100,true,
TXN-NO_LOCK-00056,REQ-SIM-00056,SIM-NO_LOCK-00056,CUS-00056,FSI-00191,1,NO_LOCK,pool-1-thread-56,286313500814500,286313713158400,true,
TXN-NO_LOCK-00074,REQ-SIM-00074,SIM-NO_LOCK-00074,CUS-00074,FSI-00191,1,NO_LOCK,pool-1-thread-74,286313504011600,286313714038900,true,
TXN-NO_LOCK-00098,REQ-SIM-00098,SIM-NO_LOCK-00098,CUS-00098,FSI-00191,1,NO_LOCK,pool-1-thread-98,286313508598300,286313714447900,true,
TXN-NO_LOCK-00003,REQ-SIM-00003,SIM-NO_LOCK-00003,CUS-00003,FSI-00191,1,NO_LOCK,pool-1-thread-3,286313488868600,286313714784000,true,
TXN-NO_LOCK-00084,REQ-SIM-00084,SIM-NO_LOCK-00084,CUS-00084,FSI-00191,1,NO_LOCK,pool-1-thread-84,286313505489300,286313714896000,true,
TXN-NO_LOCK-00046,REQ-SIM-00046,SIM-NO_LOCK-00046,CUS-00046,FSI-00191,1,NO_LOCK,pool-1-thread-46,286313499640300,286313719090100,true,
TXN-NO_LOCK-00048,REQ-SIM-00048,SIM-NO_LOCK-00048,CUS-00048,FSI-00191,1,NO_LOCK,pool-1-thread-48,286313498750000,286313719391200,true,
TXN-NO_LOCK-00051,REQ-SIM-00051,SIM-NO_LOCK-00051,CUS-00051,FSI-00191,1,NO_LOCK,pool-1-thread-51,286313500470300,286313721362400,true,
TXN-NO_LOCK-00040,REQ-SIM-00040,SIM-NO_LOCK-00040,CUS-00040,FSI-00191,1,NO_LOCK,pool-1-thread-40,286313496669900,286313721340600,true,
TXN-NO_LOCK-00047,REQ-SIM-00047,SIM-NO_LOCK-00047,CUS-00047,FSI-00191,1,NO_LOCK,pool-1-thread-47,286313500456100,286313722436300,true,
TXN-NO_LOCK-00028,REQ-SIM-00028,SIM-NO_LOCK-00028,CUS-00028,FSI-00191,1,NO_LOCK,pool-1-thread-28,286313494367800,286313723434700,true,
TXN-NO_LOCK-00061,REQ-SIM-00061,SIM-NO_LOCK-00061,CUS-00061,FSI-00191,1,NO_LOCK,pool-1-thread-61,286313500827400,286313724028800,true,
TXN-NO_LOCK-00025,REQ-SIM-00025,SIM-NO_LOCK-00025,CUS-00025,FSI-00191,1,NO_LOCK,pool-1-thread-25,286313493448200,286313724435200,true,
TXN-NO_LOCK-00095,REQ-SIM-00095,SIM-NO_LOCK-00095,CUS-00095,FSI-00191,1,NO_LOCK,pool-1-thread-95,286313508478600,286313724889500,true,
TXN-NO_LOCK-00057,REQ-SIM-00057,SIM-NO_LOCK-00057,CUS-00057,FSI-00191,1,NO_LOCK,pool-1-thread-57,286313501111600,286313727612800,true,
TXN-NO_LOCK-00068,REQ-SIM-00068,SIM-NO_LOCK-00068,CUS-00068,FSI-00191,1,NO_LOCK,pool-1-thread-68,286313502747900,286313727646700,true,
