repeat,timestamp,itemId,mechanism,threads,quantityPerThread,limitedQty,successCount,failCount,finalSoldQty,lostUpdateQty,explicitOversoldQty,logicalNegativeQty,negativeStockRatePct,consistencyViolationRatePct,totalTimeMs,throughputTps,avgLatencyMs,vsSynchronizedPct,targetPassed
1,2026-07-21T11:52:09.412755700,FSI-00167,NO_LOCK,1000.0,1.0,96.0,1000.0,0.0,1.0,999.0,0.0,904.0,90.4,99.9,896.6703,1115.2371,855.9035,2053.4737,False
1,2026-07-21T11:52:09.412755700,FSI-00167,FILE_LOCK,1000.0,1.0,96.0,43.0,957.0,43.0,0.0,0.0,0.0,0.0,0.0,381.9059,112.5932,206.1363,117.4125,True
1,2026-07-21T11:52:09.412755700,FSI-00167,SYNCHRONIZED,1000.0,1.0,96.0,96.0,904.0,96.0,0.0,0.0,0.0,0.0,0.0,1853.7177,51.7878,1629.9403,0.0,True
1,2026-07-21T11:52:09.412755700,FSI-00167,OPTIMISTIC,1000.0,1.0,96.0,96.0,904.0,96.0,0.0,0.0,0.0,0.0,0.0,2199.8377,43.6396,1944.1891,-15.7339,True
2,2026-07-21T11:52:28.508067600,FSI-00167,NO_LOCK,1000.0,1.0,96.0,1000.0,0.0,1.0,999.0,0.0,904.0,90.4,99.9,526.8739,1897.9874,414.6315,3385.0251,False
2,2026-07-21T11:52:28.508067600,FSI-00167,FILE_LOCK,1000.0,1.0,96.0,73.0,927.0,73.0,0.0,0.0,0.0,0.0,0.0,360.6389,202.4185,264.3928,271.6746,True
2,2026-07-21T11:52:28.508067600,FSI-00167,SYNCHRONIZED,1000.0,1.0,96.0,96.0,904.0,96.0,0.0,0.0,0.0,0.0,0.0,1762.722,54.4612,1559.2214,0.0,True
2,2026-07-21T11:52:28.508067600,FSI-00167,OPTIMISTIC,1000.0,1.0,96.0,96.0,904.0,96.0,0.0,0.0,0.0,0.0,0.0,2170.3779,44.2319,1925.8902,-18.7827,True
3,2026-07-21T11:52:45.284396100,FSI-00167,NO_LOCK,1000.0,1.0,96.0,1000.0,0.0,1.0,999.0,0.0,904.0,90.4,99.9,941.929,1061.6511,899.1296,2344.7555,False
3,2026-07-21T11:52:45.284396100,FSI-00167,FILE_LOCK,1000.0,1.0,96.0,59.0,941.0,59.0,0.0,0.0,0.0,0.0,0.0,352.6346,167.312,142.4921,285.2838,True
3,2026-07-21T11:52:45.284396100,FSI-00167,SYNCHRONIZED,1000.0,1.0,96.0,96.0,904.0,96.0,0.0,0.0,0.0,0.0,0.0,2210.6747,43.4257,1942.3763,0.0,True
3,2026-07-21T11:52:45.284396100,FSI-00167,OPTIMISTIC,1000.0,1.0,96.0,96.0,904.0,96.0,0.0,0.0,0.0,0.0,0.0,3054.1865,31.4323,2764.4802,-27.6182,True
